team_a,team_b,mode,games,seed,strategy_a,strategy_b,deck_type_a,deck_type_b,passive_a,passive_b,wins_a,wins_b,win_rate_a,win_rate_b,avg_rallies,avg_exchanges,top_endings
Blitz,Grind,pvp,300,42,smart,smart,standard,standard,,Deep Bench,109,191,36.33,63.67,25.043,2.458,Stuffed:3165 | Tip not dug:991 | Deflect not dug:921
Blitz,Easy,pvd,300,43,smart,dummy,standard,dummy,,Safe Setter,298,2,99.33,0.67,21.083,2.156,Stuffed:2355 | Tip not dug:1486 | Deflect not dug:855
Blitz,Medium,pvd,300,44,smart,dummy,standard,dummy,,Back Court Threat,60,240,20.0,80.0,25.307,2.204,Tip not dug:2023 | Stuffed:1237 | Deflect not dug:822
Blitz,Hard,pvd,300,45,smart,dummy,standard,dummy,,Elite Draw,247,53,82.33,17.67,23.96,2.99,Tip not dug:2426 | Stuffed:1672 | Deflect not dug:1447
Grind,Blitz,pvp,300,46,smart,smart,standard,standard,Deep Bench,,193,107,64.33,35.67,25.193,2.462,Stuffed:3184 | Tip not dug:1049 | Deflect not dug:983
Grind,Easy,pvd,300,47,smart,dummy,standard,dummy,Deep Bench,Safe Setter,298,2,99.33,0.67,19.887,2.166,Stuffed:2493 | Tip not dug:1141 | Deflect not dug:763
Grind,Medium,pvd,300,48,smart,dummy,standard,dummy,Deep Bench,Back Court Threat,54,246,18.0,82.0,24.61,2.284,Tip not dug:1878 | Stuffed:1393 | Deflect not dug:764
Grind,Hard,pvd,300,49,smart,dummy,standard,dummy,Deep Bench,Elite Draw,242,58,80.67,19.33,24.263,3.1,Tip not dug:2335 | Stuffed:1964 | Deflect not dug:1202
