team_a,team_b,mode,games,seed,strategy_a,strategy_b,deck_type_a,deck_type_b,passive_a,passive_b,wins_a,wins_b,win_rate_a,win_rate_b,avg_rallies,avg_exchanges,top_endings
Blitz,Hard,pvd,1000,42,smart,dummy,standard,dummy,,Elite Draw,196,804,19.6,80.4,24.936,2.103,Stuffed:5986 | Tip not dug:4812 | Deflect not dug:4592
Grind,Hard,pvd,1000,43,smart,dummy,standard,dummy,Deep Bench,Elite Draw,318,682,31.8,68.2,25.33,2.213,Stuffed:6747 | Tip not dug:4538 | Deflect not dug:4373
Spread,Hard,pvd,1000,44,smart,dummy,standard,dummy,Lane Chess,Elite Draw,315,685,31.5,68.5,25.642,2.128,Stuffed:6660 | Tip not dug:5117 | Deflect not dug:4635
Backline,Hard,pvd,1000,45,smart,dummy,standard,dummy,Transition Sniper,Elite Draw,265,735,26.5,73.5,25.286,2.16,Stuffed:6679 | Deflect not dug:5265 | Tip not dug:4905
