team_a,team_b,mode,games,seed,strategy_a,strategy_b,deck_type_a,deck_type_b,passive_a,passive_b,wins_a,wins_b,win_rate_a,win_rate_b,avg_rallies,avg_exchanges,top_endings
Blitz,Hard,pvd,1000,42,smart,dummy,standard,dummy,,Elite Draw,269,731,26.9,73.1,25.414,2.233,Tip not dug:5166 | Deflect not dug:5068 | Stuffed:4368
Grind,Hard,pvd,1000,43,smart,dummy,standard,dummy,Deep Bench,Elite Draw,413,587,41.3,58.7,25.761,2.337,Stuffed:5372 | Deflect not dug:4915 | Tip not dug:4838
Spread,Hard,pvd,1000,44,smart,dummy,standard,dummy,Lane Chess,Elite Draw,371,629,37.1,62.9,25.867,2.342,Tip not dug:5477 | Deflect not dug:5370 | Stuffed:4876
Backline,Hard,pvd,1000,45,smart,dummy,standard,dummy,Transition Sniper,Elite Draw,382,618,38.2,61.8,25.699,2.316,Deflect not dug:5613 | Tip not dug:5273 | Stuffed:5103
