team_a,team_b,mode,games,seed,strategy_a,strategy_b,deck_type_a,deck_type_b,passive_a,passive_b,wins_a,wins_b,win_rate_a,win_rate_b,avg_rallies,avg_exchanges,top_endings
Blitz,Grind,pvp,1000,42,smart,smart,standard,standard,,Deep Bench,342,658,34.2,65.8,25.28,2.457,Stuffed:10609 | Tip not dug:3435 | Deflect not dug:3185
Blitz,Easy,pvd,1000,43,smart,dummy,standard,easy_dummy,,Safe Setter,942,58,94.2,5.8,23.043,2.24,Stuffed:7689 | Tip not dug:6559 | Deflect not dug:2217
Blitz,Medium,pvd,1000,44,smart,dummy,standard,medium_dummy,,Back Court Threat,830,170,83.0,17.0,24.43,2.804,Tip not dug:9114 | Stuffed:5426 | Deflect not dug:3014
Blitz,Hard,pvd,1000,45,smart,dummy,standard,hard_dummy,,Elite Draw,300,700,30.0,70.0,25.745,2.145,Tip not dug:5131 | Stuffed:4722 | Deflect not dug:4345
Grind,Blitz,pvp,1000,46,smart,smart,standard,standard,Deep Bench,,636,364,63.6,36.4,25.283,2.477,Stuffed:10474 | Tip not dug:3614 | Deflect not dug:3173
Grind,Easy,pvd,1000,47,smart,dummy,standard,easy_dummy,Deep Bench,Safe Setter,972,28,97.2,2.8,22.016,2.382,Stuffed:8426 | Tip not dug:5366 | Kill (dig failed):2096
Grind,Medium,pvd,1000,48,smart,dummy,standard,medium_dummy,Deep Bench,Back Court Threat,803,197,80.3,19.7,24.563,2.962,Tip not dug:8799 | Stuffed:6849 | Deflect not dug:2696
Grind,Hard,pvd,1000,49,smart,dummy,standard,hard_dummy,Deep Bench,Elite Draw,249,751,24.9,75.1,25.286,2.22,Stuffed:5275 | Tip not dug:4504 | Deflect not dug:3932
