"team_a","team_b","mode","games","seed","strategy_a","strategy_b","deck_type_a","deck_type_b","passive_a","passive_b","wins_a","wins_b","win_rate_a","win_rate_b","avg_rallies","avg_exchanges","top_endings"
"Blitz","Hard","pvd","1000","42","smart","dummy","standard","dummy","","Elite Draw","238","762","23.8","76.2","25.48","2.259","Tip not dug:5199 | Deflect not dug:4987 | Stuffed:4335"
"Grind","Hard","pvd","1000","42","smart","dummy","standard","dummy","Deep Bench","Elite Draw","371","629","37.1","62.9","25.728","2.375","Stuffed:5175 | Tip not dug:5022 | Deflect not dug:4785"
"Spread","Hard","pvd","1000","42","smart","dummy","standard","dummy","Lane Chess","Elite Draw","353","647","35.3","64.7","25.748","2.355","Tip not dug:5583 | Deflect not dug:5343 | Stuffed:4806"
"Backline","Hard","pvd","1000","42","smart","dummy","standard","dummy","Transition Sniper","Elite Draw","347","653","34.7","65.3","25.718","2.341","Deflect not dug:5591 | Tip not dug:5158 | Stuffed:5088"
