team_a,team_b,mode,games,seed,strategy_a,strategy_b,deck_type_a,deck_type_b,passive_a,passive_b,wins_a,wins_b,win_rate_a,win_rate_b,avg_rallies,avg_exchanges,top_endings
Blitz,Grind,pvp,1000,42,smart,smart,standard,standard,,Deep Bench,342,658,34.2,65.8,25.28,2.457,Stuffed:10609 | Tip not dug:3435 | Deflect not dug:3185
Blitz,Easy,pvd,1000,43,smart,dummy,standard,dummy,,Safe Setter,992,8,99.2,0.8,21.066,2.127,Stuffed:7945 | Tip not dug:4746 | Deflect not dug:2901
Blitz,Medium,pvd,1000,44,smart,dummy,standard,dummy,,Back Court Threat,222,778,22.2,77.8,25.161,2.211,Tip not dug:6714 | Stuffed:4100 | Deflect not dug:2850
Blitz,Hard,pvd,1000,45,smart,dummy,standard,dummy,,Elite Draw,802,198,80.2,19.8,24.023,3.022,Tip not dug:8115 | Stuffed:5740 | Deflect not dug:4759
Grind,Blitz,pvp,1000,46,smart,smart,standard,standard,Deep Bench,,636,364,63.6,36.4,25.283,2.477,Stuffed:10474 | Tip not dug:3614 | Deflect not dug:3173
Grind,Easy,pvd,1000,47,smart,dummy,standard,dummy,Deep Bench,Safe Setter,996,4,99.6,0.4,20.022,2.18,Stuffed:8446 | Tip not dug:3863 | Deflect not dug:2621
Grind,Medium,pvd,1000,48,smart,dummy,standard,dummy,Deep Bench,Back Court Threat,169,831,16.9,83.1,24.795,2.283,Tip not dug:6296 | Stuffed:4656 | Deflect not dug:2549
Grind,Hard,pvd,1000,49,smart,dummy,standard,dummy,Deep Bench,Elite Draw,808,192,80.8,19.2,24.128,3.102,Tip not dug:7749 | Stuffed:6578 | Deflect not dug:4057
