team_a,team_b,mode,games,seed,strategy_a,strategy_b,deck_type_a,deck_type_b,passive_a,passive_b,wins_a,wins_b,win_rate_a,win_rate_b,avg_rallies,avg_exchanges,top_endings
Blitz,Grind,pvp,300,42,smart,smart,standard,standard,,Deep Bench,109,191,36.33,63.67,25.043,2.458,Stuffed:3165 | Tip not dug:991 | Deflect not dug:921
Blitz,Easy,pvd,300,43,smart,dummy,standard,dummy,,Safe Setter,210,90,70.0,30.0,25.32,2.908,Tip not dug:2930 | Stuffed:1669 | Deflect not dug:1083
Blitz,Medium,pvd,300,44,smart,dummy,standard,dummy,,Back Court Threat,184,116,61.33,38.67,25.15,3.088,Tip not dug:3121 | Stuffed:1459 | Deflect not dug:1046
Blitz,Hard,pvd,300,45,smart,dummy,standard,dummy,,Elite Draw,112,188,37.33,62.67,26.123,2.119,Tip not dug:1565 | Deflect not dug:1469 | Stuffed:1331
Grind,Blitz,pvp,300,46,smart,smart,standard,standard,Deep Bench,,193,107,64.33,35.67,25.193,2.462,Stuffed:3184 | Tip not dug:1049 | Deflect not dug:983
Grind,Easy,pvd,300,47,smart,dummy,standard,dummy,Deep Bench,Safe Setter,208,92,69.33,30.67,25.053,3.007,Tip not dug:2808 | Stuffed:2021 | Deflect not dug:914
Grind,Medium,pvd,300,48,smart,dummy,standard,dummy,Deep Bench,Back Court Threat,163,137,54.33,45.67,25.607,3.288,Tip not dug:3249 | Stuffed:1763 | Deflect not dug:916
Grind,Hard,pvd,300,49,smart,dummy,standard,dummy,Deep Bench,Elite Draw,102,198,34.0,66.0,25.7,2.172,Stuffed:1522 | Deflect not dug:1363 | Tip not dug:1220
